budget,description,finishDays,project_tags,publishedDate,title
2000000,"dibuka lowongan untuk remote full-time full-stack web developer   freelancer  (tidak menerima yang sedang bekerja secara full-time). syarat: siap fullstack, dominan frontend/backend tergantung project menguasai vue / react / angular (wajib stack agnostic, siap untuk stack apapun) di frontend menguasai nodejs, laravel di backend  full time freelancer bersedia komunikasi menggunakan  discord , bersedia melakukan daily updates task based on kebutuhan, monthly payment based start from 2 juta rupiah untuk detail requirement ada di docs berikut (wajib dibaca, ada text yang harus ditulis di awal bid) https://docs...",30,Web Programming,19/05/2023 19:27:23 WIB,Remote Fulltime Full Stack Web Developer Freelance
1000000,"lagi cari tim teknis u/ bantu setup email server smtp ip u/ cold email blast broadcast. perlu tau cara kerja setup server ini, warmup, provide ip, dll, u/ bisa masuk k inbox. silahkan bid & berikan detail penjelasannya, bisa kapasitas kirim email berapa. email client belum ada, km perlu bisa siapin blueprint lengkap a-z. thx",10,"Email Support,Email Marketing,Programming,Database Programming,Web Programming,SQL Server",19/05/2023 19:26:49 WIB,Setup Email Server Smtp Ip U/ Cold Email Blast Broadcast
500000,"dibutuhkan cepat freelance content creator untuk pembuatan video tiktok/reels : 8 (delapan) video produk herbal & kesehatan domisili surabaya lebih di utamakan sertakan cv & porfotolio terbaik kamu, email ke",7,"Video Editing,Video Production,Video Animation",05/05/2023 19:36:12 WIB,Content Creator Tiktok/Reels
300000,selamat sore saya butuh bantuan dalam pembuatan website wordpress sebelumnya saya telah terbiasa menggunakan wordpress baik elementro pro maupun menggunakan theme yang  memiliki fitur import demo content. namun ada beberapa web yang saya butuh bantuan dalam pembuatannya karena saya kesulitan menemukan theme yang seperti theme website tersebut jadi saya butuh bantuan salah satunya website wordpress yang ingin ditiru pembuatannya adalah  www.polytechnic.astra.ac.id pmb.polytechnic.astra.ac...,30,"Wordpress,Tutorial/Assistant",05/05/2023 17:30:52 WIB,Butuh Bantuan Dalam Pembuatan Website Wordpress
500000,"hallo, salah satu klien kami sedang membutuhkan pengajar pemrograman secara online. setiap pertemuan berdurasi 2 jam. jumlah pertemuan 2x dalam 1 minggu. periode 1 bulan. syarat2: - pernah membuat / memiliki kurikulum pengajaran pemrograman - bisa membuat materi pengajaran yang menarik dan tidak membosankan silahkan mendaftar untuk project ini. silahkan kirimkan informasi berikut: 1. nama dan nomor kontak untuk interview 2. kota tinggal 3. kesibukan saat ini 4. sebutkan bahasa pemrograman yang dikuasai 5...",30,"Programming,Cross Platform Programming,Database Programming,Game Programming,Linux Programming,Mobile Programming,Multimedia Programming,Web Programming,Windows Programming,Desktop Programming",04/05/2023 09:39:35 WIB,Pengajar Pemrograman Online
2500000,"mebuat website company perusahaan 2 bahasa dengan fitur antara lain namun tidak terbatas pada: website yang responsive & user friendly mobile friendly design profesional, menarik, modern, dan rapi  full dinamis dan fast loading  memungkinkan untuk mengelola dan menampilkan gallery gambar/video produk memungkinkan untuk mengelola halaman website memungkinkan untuk fitur multi admin memungkinkan untuk mengelola slider (gambar bergerak) memungkinkan untuk integrasi social media memungkinkan untuk fitur chat online / chat whatsapp & line terdapat fitur mengelola pesan/email fitur dual bahasa/bahasa dapat diganti-ganti terdapat statistik kunjungan  anti copy protection seo optimization dan terindex google",30,"Web Programming,JavaScript,Website,Web Design,Website Building,Google Maps",15/05/2023 09:20:44 WIB,Pembuatan Website Company Profile
2000000,"hanya untuk yg ber pengalaman serupa aja, web dev yg uda pernah buat website utk ib forex broker, tentang rebate n cashback. spec platform/ bahasa pemrograman : bebas. hari: 30 days maxx konsep, semua clients yang join u/ trading forex ke broker tsb dr ib links/ affiliate links ini website, akan kita set untuk auto rebate (cashback). tlg info kan portfolio km ttg ini ya. forex broker nya sy info kan utk yg cocok aja.",14,"Website,Website Building",15/05/2023 08:38:01 WIB,Buat Website Rebate Cashback Forex Ib
500000,pembuatan backend php native untuk cms web yang sudah jadi 50%,7,PHP,02/05/2023 11:54:09 WIB,Pembuatan Backend Php Native Untuk Cms Web
1000000,"hallo. sya mau buat game sederhana di web di tampilan frontend aja..  ada menu login dan register.. register nya username dan passowrd, confir password  menu topup dan wd manual... amount + kode unik, pilih tujuan trf, upload bukti dashboard sederhana game..  hubungi saya atau on bid langsung..",7,"Game Programming,Website,Website Building,Website Templates",28/04/2023 18:46:33 WIB,Buat Permainan Versi Web Sederhana
3000000,saya mau membuat website forum seperti https://flarum.org/ dengan design dan system yang saya mau info lebih lanjut bisa chat saya,30,"HTML,Laravel Framework",27/04/2023 06:10:14 WIB,Membuat Web Forum Seperti Flarum
1000000,"halo, saya memerlukan pembuatan aplikasi simple di android untuk melakukan tracking gps di handphone. cara kerja apps, hanya mengirimkan lokasi gps (long, lat) handphone ke server saya via mqtt secara periodik,",30,"Android,Android studio",06/05/2023 06:20:35 WIB,Pembuatan Aplikasi Android Tracking
1500000,"hai, saya membutuhkan 2 orang front end untuk menyelesaikan project kami. dengan kriteria berikut : - berpengalaman di html, css/scss/sass, javascript, laravel blade - konversi desain ui website (responsive, styling dan scripting) - menampilkan/mengambil data dari backend untuk ditampilkan ke client side - impelementasi localization (laravel lang) - berpengalaman bekerja dengan environment agile - paham dan terbiasa menggunakan git pekerjaan nya :   - implementasi template desain ( konversi ui)   - fix responsive desain - implementasi fitur tampilan baru ke semua template - implementasi fitur tampilan baru ke dashboard sistem sistem kerjanya, anda tinggal mengikuti arahan dari project manager kami...",30,"Web Programming,JavaScript,Website Templates,Laravel Framework,UI Design",08/05/2023 09:51:35 WIB,Butuh Frontend Untuk Finishing Project.
50000,dicari akun itoolab untuk memindahkan wa android ke iphone,7,iPhone/iOS,13/05/2023 10:43:24 WIB,Dicari Akun Itoolab
350000,pembuatan paket soal skd kedinasan / cpns soal soal wajib berlevel sulit hingga sangat sulit tapi tetap mengikuti kisi kisi. detail job : jumlah soal : 110 nomor twk : nasionalisme : 8 integritas : 7 bela negara : 7 pilar negara : 8 tiu : verbal = analogi : 4 silogisme : 4 analitis : 3 numerik = berhitung : 4 deret angka : 4 perbandingan kuantitatif : 3 soal cerita : 3 figural = analogi : 4 ketidaksamaan : 3 serial : 3 tkp : 45 nomor pelayanan publik : 7 jejaring kerja : 7 sosial budaya : 7 teknologi informasi dan komunikasi : 7 profesionalisme : 7 anti radikalisme : 10 semua soal wajib berkategori hots...,7,"Writing,Content Writer",13/05/2023 07:24:05 WIB,Membuat 1 Paket Soal Skd Cpns/Kedinasan
350000,"halo, sya butuh web dev yang bisa custom page shopify desainnya sudah saya buat (figma), beberapa hal yang dibtuhkan: responsive bisa show google review bisa show video terima kasih",3,"JavaScript,Web Design,CSS",16/05/2023 15:54:30 WIB,Custom Page Shopify
300000,"hi all, saya memerlukan worker yg bisa crud dengan bahasa programming di atas. minimal pengalaman 3 tahun dengan bahasa program it. mempunyai logik yg baik. tugas trouble shoot dan menambahkan fitur yg sudah ada. yg memenuhi syarat silahkan apply. terima kasih.",1,ReactJS,16/05/2023 15:36:33 WIB,React.Js Dan Tailwind
300000,"dibutuhkan jasa untuk memasang iklan di instagram. objel klinik gigi area jakarta. saya sdh mempunya web dan content, yg diperlukan hanya jasa pemasangan iklannya saja",7,"Social Media Marketing (SMM),Advertising,Instagram",10/05/2023 15:42:28 WIB,Pasang Iklan Di Instagram
3500000,lagi cari jasa untuk buat ea/ robot trading untuk forex nih. bs ngobrol & sesuaikan bid nya kemudian. perlu bs dpake u/ win rate lebih tinggi drpda lose rate bs dpake multi license bila ada track record lebih bagus ada opsi strategi dr dev nya,30,"Programming,Cross Platform Programming,Database Programming,Web Programming,Windows Programming,Desktop Programming",17/05/2023 19:16:18 WIB,Jasa Buat Ea Forex Robot Trading
500000,dicari konten creator untuk brand tas cwe  syarat sudah sering buat konten & fyp bisa di buktikan dengan hasil videonay atau profile tiktok durasi video - 10-20s ( tergantung konten yang lagi viral) jumlah video 20-30  wajib sertakan wa,7,"Administrative Support,Internet Marketing,Affiliate Marketing,Social Media Marketing (SMM),Advertising,Administration,Google Adsense,Facebook,Instagram,Social Media",15/05/2023 16:55:04 WIB,Tiktok Content Creator Untuk Brand Tas Cwe
15000000,"dear freelancer, kami ingin mencari freelancer yang pernah mengerjakan web apps untuk 3d interior design, oleh karenanya dalam pemilihan project ini kami harapkan: portfolio terkait source code apps (bagi yang ingin menjual) demikian yang dapat kami sampaikan, atas perhatiannya kami ucapkan terima kasih regards, owner",90,"3D Architecture,3D Modelling,3ds Max",20/05/2023 09:31:38 WIB,3D Interior Design Apps
700000,"dicari jurnalis untuk media sepakbola, mampu menulis 5 berita sehari selama 30 hari , setiap berita minimal 300 kata. fokus berita adalah sepakbola indonesia",30,"Song Writing,Writing,Copywriter,Screenwriting,Content Writer",20/05/2023 09:30:56 WIB,Dicari Jurnalis Untuk Media Sepakbola
110000,"https://www.indosniper.com |project ke-55 saya. saya mencari worker yang bisa melakukan 2 hal sbb: 01. membuat artikel tentang senapan angin merk goppul - night furryyang seo friendly. no plagiarism, dibuktikan dengan copyscape, 1text,smallseotools, atau lainnya. informatif, padat dan tidak berputar-putarmengejar target kata. soft-selling utk perkenalan produk senapan angin miliksaya sesuai yang ada di https://www.indosniper.com gaya bahasa kekinian tapi juga harus sesuai kaidah eyd termasukpenggunaan huruf besar, tanda baca dan lainnya...",7,"Internet Marketing,Search Engine Optimization (SEO),Writing,Copywriter,Screenwriting,Content Writer",20/05/2023 08:03:58 WIB,Dicari Penulis Artikel Yang Sanggup Mengeposkan Di Media Terkenal (Tahap Ii)
70000,mendesign kaos olahraga sudah ada konsepan nya tinggal mengaplikasikan kedalam kaos saja.,3,"Adobe PhotoShop,Adobe Illustrator",19/05/2023 19:26:36 WIB,Design Kaos Olahraga Dengan Mockup 3D (Bukan Jersey)
1000000,kami memiliki beberapa aplikasi yang berjalan dengan nodejs/reactjs yang mengguna mongodb dan sql server. saat ini ada beberapa pekerjaan yang perlu dilakukan : penambahan pilihan produk perhitungan akumulasi premi silahkan diajukan penawarannya.,14,"NodeJS,ReactJS",16/05/2023 16:51:15 WIB,Penambahan Fitur Aplikasi Web Nodejs/Reactjs
500000,"halo, saya memerlukan programmer android yang fasih dalam bahasa java native dan berpengalaman dalam mengintegrasikan sdk iklan ke aplikasi android video. untuk source code sdk dan aplikasi androidnya sudah ada. jika berminat dan memiliki kemampuan yang disebut diatas, silahkan membid dengan menyertakan juga nomor wa nya untuk diskusi lebih lanjut. terima kasih.",7,"Mobile Programming,Android,Java Native,Android studio",19/05/2023 16:38:39 WIB,Integrasi Iklan Ke Aplikasi Video
5000000,"halo developers! to the point, saya mau buat platform serupa dengan: https://testimonial.to/ budget 10juta maksimal",7,"Web Programming,JavaScript,Laravel Framework",05/05/2023 16:55:15 WIB,Membuat Aplikasi Platform Testimoni/Review
1500000,metode atau cara untuk menentukan tema ui ux design yang sedang viral atau bakal rame di 1 atau 2 bulan mendatang.,7,Dribbble,05/05/2023 16:54:22 WIB,Metode Untuk Menentukan Tema Ui Ux Design Yang Sedang Viral Atau Bakal Rame Di 1 Atau 2 Bulan Mendatang
1000000,"membuat aplikasi absensi karyawan dan penggajian 1. login admin/user (karyawan) 2. absensi kehadiran (upload selfie) 3. absensi pulang (upload selfie) 4. invoice penggajian rumus gajian: - di menu master user, tambahkan saja 1 field salary, ex: 2,600,000 - total masuk kerja dalam sebulan 26 hari, maka gaji per hari 2,600,000 / 26 = 100,000 - total gaji, total absensi x 100,000 - invoice view saja, untuk cetak pdf bisa pakai window.print() pengerjaan: - gunakan bootsrap untuk css  - gunakan laravel min version 7 - gunakan model mvc yg jelas  - upload source code ke git agar bisa review bersama",30,Laravel Framework,04/05/2023 06:57:52 WIB,Membuat Aplikasi Absensi Karyawan Dan Penggajian
750000,"halo saya membutuhkan orang yang bisa convert project open source bisa download di  https://sourceforge.net/projects/daloradius/files/daloradius/daloradius-1.1-2.zip/download ke ci / laravel terserah, nanti template admin panel nya dari saya pastikan bid dengan mencantumkan deadline diharapkan setiap hari nya ada progress dengan melakukan push ke github tidak merubah function dari existing source code, tidak merubah struktur sql dari yang ada",7,"PHP,CodeIgniter,Laravel Framework",04/05/2023 06:56:43 WIB,Ubah Project Php Native Ke Ci / Laravel
150000,notifikasi di googlesheet berdasarkan tanggal (jatuh tempo) misal tanggal 1 mei 2023 jatuh tempo 2 mei 2023 (sinkron) maka dia akan memberikan notifikasi.....,10,Microsoft Excel,15/05/2023 07:41:14 WIB,Notifikasi Di Googlesheet Berdasarkan Tanggal
350000,"jadi saya sudah punya website topup game yang melakukan oper order ke digiflazz web saya sudah bisa melakukan oper order otomatis ke digiflazz via api. tetapi belum ada sistem untuk menerima perubahan status orderan yang dijalankan digiflazz alur kerja web saya -orderan masuk ,status orderan pending -pembayaran di cek,ketika sudah dibayar otomatis jadi processing -ketika processing,orderan di web saya otomatis di oper ke digiflazz, sampai titik ini berhasil. -orderan di digiflazz kan nantinya akan berubah status jadi selesai/gagal ketika di proses di digiflazz...",3,"PHP,JSON",02/05/2023 09:18:20 WIB,Buat Sistem Penerima Webhook Dari Digiflazz
750000,"selamat pagi saya butuh dibuatkan sistem alarm antitheft berbasis arduino anda cukup informasikan proses pembuatannya dari awal pembelian alat-alat, perakitan, pemograman, sampai dengan pemasangan poin konsepnya adalah jika suatu barang belum discan dan dibawa keluar dari gudang maka akan menyebabkan alarm berbunyi. maka barang tersebut harus discan dulu sebelum dibawah dikeluar dari gudang agar alarm tidak berbunyi.",30,"Arduino,Tutorial/Assistant",02/05/2023 09:09:34 WIB,Butuh Dibuatkan Sistem Alarm Antitheft Berbasis Arduino
100001,"terdapat error di wordpress, dan kemungkinan karena masalah plugin yang error setelah dilakukan update pada plugin.",15,"Website,Wordpress,Web Design,Website Building,Website Templates,Wordpress Templates",28/04/2023 17:46:00 WIB,Memperbaiki Plugin Error Pada Web Berbasis Wordpress
500000,"halo, saya sedang mencari freelance video editor untuk youtube gaming. berpeluang jangka panajang jika hasil memuaskan  - durasi video 5-20 menit  - dibayar per video  - skill yang dibutuhkan animasi dan motion graphics harap sertakan portofolio saat bid.  terimakasih",30,"Animation,3D Animation,Video Editing,Video Production,Adobe Premiere,Video Animation",28/04/2023 17:02:28 WIB,Freelance Video Editor Paid Per Video For Gaming Industry
1500000,"kamu senang ngoceh di depan kamera? jago mengkomunikasikan produk dengan jelas dan baik? kami mencari host untuk live di tiktok freelance  /  fulltime kriteria: pandai berkomunikasi (ceria, ramai, ramah) prefer memiliki anak agar mengerti produk bayi  mau belajar tentang produk2 untuk ibu dan anak tidak kaku, terbiasa melakukan live tiktok dan paham cara main live tiktok bersedia live dari lokasi studio babyologist. lokasi studio di  pik  (skrg-hingga juli 2023) dan di  mega kuningan jaksel  (juli 2023-seterusnya) jika freelance: minimal live 2 jam sehari x 5 hari kerja rate dapat didiskusikan jika fulltime: waktu kerja: 8 jam sehari + 1 jam istirahat x 5 hari kerja dalam seminggu gaji bulanan dapat didiskusikan, tergantung pengalaman kerja termasuk bpjs silahkan bid dengan melampirkan keterangan pengalaman, contoh video live sebelumnya :)",10,"Social Media Marketing (SMM),Social Media",27/04/2023 05:56:23 WIB,Live Host Tiktok Untuk Produk Ibu & Bayi
100000,dibutuhkan untuk backlink artikel yang berhungan dengan pembuatan seragam . artikel sudah ranked oleh google dofollow artikel berhubungan dengan kemasan makanan bisa memposting di media terkenal bisa menjadi pertimbangan ( artikel harus sesuai tema ) mohon bid dengan bertanggung jawab dan infokan jangka waktu penyelesaian pekerjaan tanpa molor.,7,"Internet Marketing,Search Engine Optimization (SEO),Marketing Strategy,Copywriter,Content Writer",27/04/2023 05:49:40 WIB,Dicari Penulis Artikel Untuk Membantu Backlink Artikel Berhubungan Dengan Pembuatan Seragam Dan Sudah Ranked Google
500000,butuh jasa decode  javascript yang terenkripsi 1 page saja,7,JavaScript,08/05/2023 09:47:28 WIB,Butuh Jasa Decode Javascript Yang Terenkripsi 1 Page Saja
350000,saya perlu dibantu untuk perbaiki web eror... tidak bsa instal plugin,7,"Web Research,Web Programming,Website,Web Design,Website Building,Website Templates,Web Scrapping",08/05/2023 08:19:34 WIB,Perbaiki Website Plugin Eror
1000000,"untuk melanjutkan pembangunan sistem pemrosesan voice menjadi transkrip text, kami memerlukan rekan programmer yang mahir menggunakan node js dan electron, dan bisa full day ngoding (pagi sampai sore) untuk dapat mengerjakan 2 fitur playback dan text edit dalam 5 hari kerja.",5,NodeJS,13/05/2023 07:22:39 WIB,Encoding Sound Dengan Node Js
1500000,membuat monitoring ujian berupa web yang memiliki fitur berupa: mendeteksi tindakan kecurangan berupa multi-tab dan membuka aplikasi lain mendeteksi tindakan kecurangan berupa deteksi multiple user berdasarkan tangkapan kamera,7,"Web Programming,Website,Web Design,Website Building",12/05/2023 22:10:37 WIB,Rancang Bangun Platform Monitoring Ujian Online Dengan Fitur Monitoring Kecurangan
3000000,"sedang mencari seorang ahli react js & next js yang dapat memberikan pelatihan untuk 1 tim di perusahaan dengan fee yang bisa dibicarakan. lokasi yang dicari adalah di surabaya dan sekitarnya.  materi yang dibutuhkan mencakup: dasar-dasar react dan penerapannya  penerapan api (crud)  pembuatan modern ui dengan next js menggunakan material ui/chakra ui/tailwind css  serta penggunaan get api.  jika anda adalah ahli di bidang ini dan tertarik untuk membantu, silakan hubungi kami dengan rincian lebih lanjut tentang pengalaman dan kualifikasi anda...",7,"Web Programming,Web Design,Website Building,ReactJS,UI Design,React Native",16/05/2023 13:31:33 WIB,Need Trainer Expert React Js Area Surabaya
5000000,"butuh source code simrs yang sudah bisa bridging vclaim bpjs, bagi developer yang pernah mengerjakan, silahkan kasih penawaran, saya butuh untuk modul paling minim saja yaitu pendaftaran dan billing. budget tidak terlalu tinggi. silahkan jelaskan bahasa pemgoraman yg digunakna, framework atau basis aplikasi (misal jika opensource), tawarkan bid dan info lain yang mendukung, mohon ketikan ""depati"" agar saya tau anda sudah membaca brief saya mohon lampirkan portofolio/pengalaman agar lebih cepat diterima...",7,"Web Programming,ASP.NET,PHP,.NET Framework,Laravel Framework,NodeJS,ReactJS",16/05/2023 12:52:09 WIB,Programmer / Source Code Simrs Bridging Vclaim Bpjs
120000,"saya mempunyai webservis yang berisi data seperti lampiran, kemudian saya ingin memfilter nama akt berdasarkan tanggal kirim dan tanggal sampai sesuai dengan tanggal dan jam berjalan saja (waktu realtime). menggunakan php",7,PHP,10/05/2023 15:35:00 WIB,Mengambil Data Berdasarkan Tanggal Sekarang Dari Webservice
300000,"hi guys, saya punya satu tools yang biasa saya pakai untuk get data dari internet pakai file microsoft excel. isinya vba yang bisa scraping data. cuma bebrapa hari yang lalu saya dapat error mungkin karena ada perubahan di website. sedangkan developer sebelumnya sudah tidak bisa dihubungi. error yang ditunjukin error 10001, microsoft visual basic run-time error '10001': error parsing json:",3,Microsoft Excel,10/05/2023 14:36:06 WIB,Benerin Error Di Software/ File Excel Vba Untuk Scraper
1000000,"buat teman2 yang bisa balikin akun instagram yang ke banned mohon info, akun saya seperti sengaja dilenyapkan direport secara brutal walau postingan tidak melanggar dan akhirnya ke banned",7,Instagram,14/05/2023 16:19:43 WIB,Cari Orang It Yang Bisa Balikin Akun Instagram Yang Ke Banned
1000000,dicari akun google adsense indonesia non hosted lama kalo bisa dashboard dollar (2015 awal ke bawah) atau yang baru tidak apa2. untuk yg baru diusahakan ada domain yg terhubung. tulis spek: ✅ adsense untuk blog/website ✅ email utama ✅ iklan tayang 100% ✅ infokan sudah po/pin atau fresh ✅ apakah ada domain yg terhubung mohon kirimkan screenshot adsense yg berhubungan dengan spek di atas.,90,"Internet Marketing,Blog,Blogspot,Wordpress,Google Adsense,Google Adwords,Youtube,Google Admob",20/05/2023 08:02:24 WIB,Butuh Akun Google Adsense Indonesia Non Hosted Berumur
1000000,dicari akun google adsense indonesia non hosted lama kalo bisa dashboard dollar (2015 awal ke bawah) atau yang baru tidak apa2. untuk yg baru diusahakan ada domain yg terhubung. tulis spek: ✅ adsense untuk blog/website ✅ email utama ✅ iklan tayang 100% ✅ infokan sudah po/pin atau fresh ✅ apakah ada domain yg terhubung mohon kirimkan screenshot adsense yg berhubungan dengan spek di atas.,66,"Blog,Blogspot,Wordpress,Google Adsense,Google Adwords,Facebook,Youtube,Google Admob",25/04/2023 08:40:33 WIB,Dicari Akun Google Adsense Indonesia Non Hosted Untuk Web
150000,"print label ke kertas label 33 x 15 x 3 menggunakan printer thermal label printer blueprint bp tr110, menggunakan laravel",3,Laravel Framework,19/05/2023 15:58:13 WIB,Laravel Print To Thermal Label Printer Blueprint Bp Tr110
1500000,"halo, kami membutuhkan admin untuk support & maintain web wordpress portal berita, nilai bid yang kami tawarkan tersebut adalah bayaran per bulan, dan jika pekerjaan nya bagus maka pasti akan terus diperpanjang kerjasamanya. diutamakan yang berdomisili di jabodetabek karena walaupun pekerjaan nya lebih banyak remote tapi diwajibkan  onsite ke kantor di bekasi min 1 minggu sekali untuk report pekerjaan maupun diskusi pengembangan/kendala. apabila  memiliki skill mengenai vps atau cloud server akan menjadi nilai tambah...",30,"Search Engine Optimization (SEO),Linux,Website,Wordpress",19/05/2023 14:35:43 WIB,"Admin Support,Seo & Maintain Web Wordpress Portal Berita"
1200000,"halo, saya lagi butuh flutter dev untuk bantu develop mobile app untuk poin dan loyalty system. flownya sangat mudah tidak complex. design: https://www.figma.com/file/hmiagxljw5vvbrjmgieewd/goodsone-hifi-dev?t=wdjybcps4o1e3qc1-0 scope pekerjaan: 1. slicing design dari figma 2. integrasi backend api, koordinasi sma orng backend apa aja yg dibutuhkan 3. validasi, error state harus pake, shimmer loading juga 4. push notification menggunakan firebase 5. redux state management dan diutamakan clean code 6...",30,"Mobile Programming,Flutter,Kotlin",05/05/2023 14:18:10 WIB,Butuh Flutter Developer Untuk Develop Poin System
200000,tugas 1 menejemen strategi dan sumber daya manusia (7 soal) tugas 2 manajemen merek dan pemasaran digital (5 soal) tugas 3 perilaku konsumen dan komunikasi pemasaran (4 soal) tolong perhatikan file terlampir terima kasih,2,"Business Analysis,Accounting,Internet Marketing,Sales and Marketing,Business Plans,Market Research,Marketing Strategy,Administration,Analysis,Data Analysis",05/05/2023 12:54:26 WIB,Tugas Kuliah Menejemen Pemasaran
5000000,butuh buat program jualan untuk fnb serta include accounting.      yg bisa di pantau penjualan secara online.,7,"Accounting,Database Programming,Google Cloud Developer",04/05/2023 06:55:18 WIB,Membuat Program Jualan Fnb
1000000,"halo, saat ini saya sedang mencari freelance yang dapat mewujudkan project yang ingin saya miliki, pada kriteria web admin ini hanya untuk transaksi ppob dengan 1 produk saja tentunya, nantinya akan menggunakan rest api diambil dari salah satu web marketplace h2h indonesia. jika ada tertarik, silakan apply atau kirim saya pesan untuk diskusi lebih lanjut.",26,Laravel Framework,04/05/2023 06:54:50 WIB,Pembuatan Web Admin Transaksi Ppob
2000000,"hi workers, saya sedang mencari seseorang yang bisa membantu saya membuatkan website manga auto update, yang saya butuhkan yaitu: auto add manga baru auto update chapter baru bisa update dari beberapa sumber (grab dari beberapa situs) file masuk ke database sendiri (hosting) jika ada saran dan masukan bisa info",7,"HTML,Laravel Framework",14/05/2023 21:19:05 WIB,Membuat Web Manga Auto Grab
200000,"mengedit tulisan pada sebuah gambar, saya butuh urgent, jumlah tulisan ada 2 buah",2,"CorelDRAW,Adobe PhotoShop",02/05/2023 07:38:23 WIB,Edit Gambar Sederhana (Urgent)
750000,"selamat pagi saya butuh dibuatkan sistem gps berbasis arduino anda cukup informasikan proses pembuatannya dari awal pembelian alat-alat, perakitan, pemograman, sampai dengan pemasangan di kendaraannya log gps dapat ditelusuri lewat peta leaflet saja karena peta googlemap berbayar",30,"Arduino,Tutorial/Assistant",02/05/2023 07:38:09 WIB,Butuh Dibuatkan Sistem Gps Berbasis Arduino
500000,"halo para worker, mungkin di projects.co.id ada yang memiliki pengalaman untuk membuat alat yang dapat menghitung pengunjung. sebagai contoh:  - https://www.flir.com/products/brickstream-3d-gen2/ - https://www.tdintelligence.com/td2000b-3d/ terima kasih",30,"Python,Machine Learning",02/05/2023 05:39:25 WIB,Butuh Alat Untuk Menghitung Pengunjung
150000,"saya sedang mencari worker yang bisa saya ajak diskusi tentang library tensorflow / opencv android.  silahkan bid bagi yang udh pengalaman pada library tersebut di platform mobile. diskusi via googlemeet, thanks",14,"Java,Android,Android studio",28/04/2023 13:30:16 WIB,Informasi Mengenai Library
1000000,saya sedang mencari seseorang yang ahli dalam mendesain postingan dan story instagram. pekerjaan ini meliputi pembuatan 30 konten hijab dengan konsep yang sudah ada di akun instagram bellascarve.id. keterampilan dalam memahami hijab akan menjadi nilai tambah dalam pengerjaan proyek ini.,7,"Social Media Marketing (SMM),Graphic Design,Logo Design,Adobe PhotoShop,Adobe Illustrator,Web Design,UI Design,UX Design,Social Media",28/04/2023 13:19:20 WIB,Desain & Upload Sosial Media Instagram
100000,dibutuhkan untuk backlink artikel yang berhungan dengan kemasan makanan. artikel sudah ranked oleh google dofollow artikel berhubungan dengan kemasan makanan bisa memposting di media terkenal bisa menjadi pertimbangan ( artikel harus sesuai tema ) mohon bid dengan bertanggung jawab dan infokan jangka waktu penyelesaian pekerjaan tanpa molor.,7,"Internet Marketing,Search Engine Optimization (SEO),Marketing Strategy,Copywriter,Content Writer",27/04/2023 05:48:37 WIB,Dicari Penulis Artikel Untuk Membantu Backlink Artikel Berhubungan Dengan Kemasan Makanan Dan Sudah Ranked Google
5000000,"saya ingin membuat gym management system dengan flutter dan database phpmyadmin dengan data seolah realtime ada 4 model roles dan tampilan  admin dapat mengakses semua menu dan memliki fungsi cms untuk menapilkan promo gambar dll di app member staff, hanya dapat mengakses menu penjualan member dan produk barang serta keperluan lainnya seperti cek in dan out via gr code dan absensi berbasis lokasi dan gambar trainer dapat melihat jumlah murid dan dan jumlah gaji, dengan sistem bagi hasil, serta data member yang berisi ukuran badan member yang dia ajari dan melihat perkembangan  member dengan tampilan yang menarik serta member dapat melihat jumlah sesi latihan dan masa berlaku member, mengisi ukuran tubuh dengan menampilkan grafik menu  member berisi data member paket membership dengan sistem harian, mingguan, bulanan dan tahunan, dengan jumlah sesi latihan, sebagai contoh jika saya membuat 1 bulan dan 20 sesi latihan maka paket hanya berlaku 20 kali sesi latihan dalam sebulan, meskipun masa aktif belum habis maka member harus me renew paket...",30,"PHP,Swift,Android studio,Flutter",08/05/2023 07:07:58 WIB,Gym Management System Dengan Flutter Yang Bisa Di Ios Dan Android Serta Window
1000000,"dibutuhkan freelance yang bisa membuat artikel tentang digital marketing, memiliki kemampuan copywriting dan seo, serta melakukan reach-out client dan membuat dokumen penawaran. pengerjaan 1 bulan membuat 30 artikel. dibutuhkan secepatnya, tinggalkan nomor telfon dan portofolio berupa: artikel seo yang pernah dibuat cerita pengalaman dalam melakukan reach out client contoh dokumen penawaran yang pernah dibuat",30,"Search Engine Optimization (SEO),Marketing Strategy,Copywriter",07/05/2023 23:02:41 WIB,Membuat Artikel Digital Marketing
15000000,"kami membutuhkan freelancer sebagai tenaga pelatih untuk mengajar ui/ux   ketentuan  mengajar 5 hari dalam seminggu  (senin - jumat) 1 hari 3 sesi mengajar, sbb :  sesi pagi 09.00 - 12.00  sesi siang 13.00 - 15.00  sesi sore 17.00 - 20.30  rutin setiap hari hanya untuk yang bisa fulltime  kontrak 3 bulan selama project berlangsung. syarat : pengalaman di bidang kerja atau pengalaman mengajar   memiliki kualifikasi kompetensi yang relevan, yang dibuktikan dengan riwayat pengalaman di bidang yang relevan dengan bidang ui/ux  - memiliki sertifikat kompetensi ui/ux punya akun linkedin dan mau di update untuk disesuaikan dengan profile tenaga pelatih",90,"UI Design,UX Design",12/05/2023 21:28:22 WIB,Tenaga Pelatih Utama Materi Ui/Ux Berpengalaman
